,token,token_count,percent_dist,log_percent_dist
0,The,150,0.0008014961261020571,-7.12903041923632
1,repeal,73,0.00039006144803633446,-7.849206272184184
2,of,1496,0.007993588030991183,-4.829115554798152
3,the,2331,0.012455249799625968,-4.385613074296818
4,Missouri,140,0.0007480630510285867,-7.19802329072327
5,Compromise,60,0.0003205984504408229,-8.045321151110475
6,",",2658,0.014202511354528453,-4.254336474059384
7,and,854,0.004563184611274379,-5.389734519544005
9,propriety,2,1.0686615014694095e-05,-11.44651853277263
11,its,88,0.0004702110606465402,-7.662328898854368
12,restoration,8,4.274646005877638e-05,-10.06022417165274
14,constitute,2,1.0686615014694095e-05,-11.44651853277263
16,subject,24,0.00012823938017632916,-8.961611882984629
18,what,81,0.0004328079080951109,-7.745216558660136
19,I,355,0.001896874165108202,-6.267547923857159
20,am,30,0.00016029922522041144,-8.73846833167042
21,about,29,0.0001549559177130644,-8.772369883346101
22,to,995,0.005316590969810312,-5.236922976173982
23,say,66,0.00035265829548490515,-7.950010971306149
24,.,1258,0.006721880844242586,-5.002387276072189
25,As,14,7.480630510285867e-05,-9.500608383717317
27,desire,4,2.137323002938819e-05,-10.753371352212685
29,present,16,8.549292011755276e-05,-9.367076991092794
30,my,36,0.00019235907026449373,-8.556146774876465
31,own,50,0.0002671653753673524,-8.22764270790443
32,connected,4,2.137323002938819e-05,-10.753371352212685
33,view,18,9.617953513224687e-05,-9.24929395543641
35,this,269,0.001437349719476356,-6.544954333730736
39,remarks,2,1.0686615014694095e-05,-11.44651853277263
40,will,118,0.0006305102858669517,-7.36898108886691
41,not,375,0.002003740315255143,-6.2127396873621645
42,be,258,0.0013785733368955383,-6.586706128410958
44,specifically,2,1.0686615014694095e-05,-11.44651853277263
46,an,76,0.0004060913705583756,-7.808932373046244
47,answer,20,0.00010686615014694096,-9.143933439778584
49,Judge,52,0.00027785199038204647,-8.188421994751147
50,Douglas,32,0.00017098584023510552,-8.673929810532849
51,;,404,0.002158696232968207,-6.138250835371425
52,yet,18,9.617953513224687e-05,-9.24929395543641
54,as,372,0.001987710392733102,-6.220771859059428
56,proceed,2,1.0686615014694095e-05,-11.44651853277263
59,main,6,3.205984504408229e-05,-10.34790624410452
60,points,10,5.343307507347048e-05,-9.83708062033853
61,he,116,0.0006198236708522576,-7.386075522226211
62,has,100,0.0005343307507347048,-7.534495527344483
63,presented,2,1.0686615014694095e-05,-11.44651853277263
65,arise,2,1.0686615014694095e-05,-11.44651853277263
69,receive,2,1.0686615014694095e-05,-11.44651853277263
70,such,56,0.0002992252204114347,-8.114314022597426
71,respectful,2,1.0686615014694095e-05,-11.44651853277263
72,attention,4,2.137323002938819e-05,-10.753371352212685
75,may,54,0.00028853860539674057,-8.150681666768302
77,able,2,1.0686615014694095e-05,-11.44651853277263
79,give,22,0.00011755276516163505,-9.04862325997426
80,them,146,0.0007801228960726689,-7.156059091624239
83,wish,22,0.00011755276516163505,-9.04862325997426
84,further,18,9.617953513224687e-05,-9.24929395543641
88,that,504,0.002693026983702912,-5.917089445261206
90,do,101,0.0005396740582420518,-7.5245451964913155
92,propose,4,2.137323002938819e-05,-10.753371352212685
94,question,60,0.0003205984504408229,-8.045321151110475
96,patriotism,4,2.137323002938819e-05,-10.753371352212685
98,or,152,0.0008121827411167512,-7.115785192486299
100,assail,2,1.0686615014694095e-05,-11.44651853277263
102,motives,4,2.137323002938819e-05,-10.753371352212685
104,any,120,0.0006411969008816458,-7.352173970550529
105,man,88,0.0004702110606465402,-7.662328898854368
108,class,4,2.137323002938819e-05,-10.753371352212685
110,men,72,0.00038471814052898747,-7.86299959431652
112,but,119,0.0006358535933742987,-7.3605422202210455
113,rather,18,9.617953513224687e-05,-9.24929395543641
115,strictly,4,2.137323002938819e-05,-10.753371352212685
116,confine,2,1.0686615014694095e-05,-11.44651853277263
117,myself,10,5.343307507347048e-05,-9.83708062033853
120,naked,7,3.7403152551429335e-05,-10.193755564277263
121,merits,2,1.0686615014694095e-05,-11.44651853277263
127,also,30,0.00016029922522041144,-8.73846833167042
131,no,148,0.000790809511087363,-7.1424534395684605
132,less,22,0.00011755276516163505,-9.04862325997426
133,than,86,0.0004595244456318461,-7.685318417079067
134,National,4,2.137323002938819e-05,-10.753371352212685
135,in,664,0.00354795618487844,-5.641383563856141
136,all,166,0.00088698904621961,-7.0276779249760315
138,positions,2,1.0686615014694095e-05,-11.44651853277263
141,take,26,0.00013892599519102323,-8.881569175311093
144,whenever,4,2.137323002938819e-05,-10.753371352212685
147,ground,14,7.480630510285867e-05,-9.500608383717317
148,which,140,0.0007480630510285867,-7.19802329072327
149,others,14,7.480630510285867e-05,-9.500608383717317
150,have,144,0.0007694362810579749,-7.1698524137565744
151,thought,26,0.00013892599519102323,-8.881569175311093
155,think,48,0.0002564787603526583,-8.268464702424684
157,narrow,2,1.0686615014694095e-05,-11.44651853277263
159,sectional,4,2.137323002938819e-05,-10.753371352212685
161,dangerous,8,4.274646005877638e-05,-10.06022417165274
164,Union,74,0.0003954047555436815,-7.835600620128405
167,hope,6,3.205984504408229e-05,-10.34790624410452
170,a,494,0.0026395939086294416,-5.937130196144652
171,reason,10,5.343307507347048e-05,-9.83708062033853
175,appear,2,1.0686615014694095e-05,-11.44651853277263
176,sufficient,4,2.137323002938819e-05,-10.753371352212685
178,at,86,0.0004595244456318461,-7.685318417079067
179,least,8,4.274646005877638e-05,-10.06022417165274
181,some,57,0.00030456852791878173,-8.096614445498025
183,why,28,0.00014961261020571734,-8.807461203157372
186,differently,2,1.0686615014694095e-05,-11.44651853277263
188,And,42,0.00022441891530857602,-8.401996095049206
193,is,493,0.0026342506011220947,-5.939156539289885
195,other,74,0.0003954047555436815,-7.835600620128405
198,part,58,0.0003099118354261288,-8.079222702786156
200,parcel,2,1.0686615014694095e-05,-11.44651853277263
203,larger,4,2.137323002938819e-05,-10.753371352212685
204,general,18,9.617953513224687e-05,-9.24929395543641
207,domestic-slavery,2,1.0686615014694095e-05,-11.44651853277263
212,MAKE,2,1.0686615014694095e-05,-11.44651853277263
215,KEEP,4,2.137323002938819e-05,-10.753371352212685
217,distinction,2,1.0686615014694095e-05,-11.44651853277263
218,between,20,0.00010686615014694096,-9.143933439778584
220,EXISTING,4,2.137323002938819e-05,-10.753371352212685
221,institution,24,0.00012823938017632916,-8.961611882984629
225,EXTENSION,6,3.205984504408229e-05,-10.34790624410452
227,it,598,0.0031952978893935347,-5.746074959381943
229,so,120,0.0006411969008816458,-7.352173970550529
230,broad,2,1.0686615014694095e-05,-11.44651853277263
234,clear,10,5.343307507347048e-05,-9.83708062033853
238,honest,4,2.137323002938819e-05,-10.753371352212685
240,can,82,0.00043815121560245794,-7.732946466068322
241,misunderstand,2,1.0686615014694095e-05,-11.44651853277263
242,me,62,0.00033128506545551694,-8.012531328287483
246,dishonest,2,1.0686615014694095e-05,-11.44651853277263
247,one,87,0.00046486775313919315,-7.6737575946779915
249,successfully,2,1.0686615014694095e-05,-11.44651853277263
250,misrepresent,2,1.0686615014694095e-05,-11.44651853277263
253,In,88,0.0004702110606465402,-7.662328898854368
254,order,4,2.137323002938819e-05,-10.753371352212685
258,understanding,8,4.274646005877638e-05,-10.06022417165274
267,short,4,2.137323002938819e-05,-10.753371352212685
268,history,18,9.617953513224687e-05,-9.24929395543641
271,preceding,2,1.0686615014694095e-05,-11.44651853277263
272,kindred,2,1.0686615014694095e-05,-11.44651853277263
273,subjects,10,5.343307507347048e-05,-9.83708062033853
275,perhaps,20,0.00010686615014694096,-9.143933439778584
277,proper,4,2.137323002938819e-05,-10.753371352212685
279,When,26,0.00013892599519102323,-8.881569175311093
280,we,180,0.0009617953513224686,-6.946708862442365
281,established,8,4.274646005877638e-05,-10.06022417165274
282,our,76,0.0004060913705583756,-7.808932373046244
283,independence,6,3.205984504408229e-05,-10.34790624410452
286,did,70,0.00037403152551429336,-7.891170471283216
291,claim,4,2.137323002938819e-05,-10.753371352212685
294,country,74,0.0003954047555436815,-7.835600620128405
298,compromise,54,0.00028853860539674057,-8.150681666768302
299,applies,4,2.137323002938819e-05,-10.753371352212685
301,Indeed,6,3.205984504408229e-05,-10.34790624410452
